season,file_episode,title,duration_seconds,subtitle_available,path,filename,inspection_error
1,1,The Magic Xylophone,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E01.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E01.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,2,Hospital,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E02.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E02.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,3,Keepy Uppy,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E03.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E03.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,4,Daddy Robot,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E04.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E04.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,5,Shadowlands,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E05.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E05.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,6,The Weekend,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E06.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E06.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,7,BBQ,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E07.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E07.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,8,Fruit Bat,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E08.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E08.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,9,Horsey Ride,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E09.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E09.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
1,10,Hotel,438.03,True,S:\Shows\Bluey\Bluey.S01.COMPLETE.720p.DSNP.WEBRip.x264-GalaxyTV[TGx]\Bluey.S01E10.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,Bluey.S01E10.720p.DSNP.WEBRip.x264-GalaxyTV.mkv,
